timestamp,r2_score,mse
2025-07-23 12:35:37,0.9346,1.3248
2025-07-23 13:51:39,0.9889,1.4648
2025-07-23 14:22:22,0.9956,2.2392
2025-07-23 14:41:06,0.9897,1.8746
2025-07-23 14:42:04,0.9346,1.3248
2025-07-23 14:43:46,0.9786,1.2043
2025-07-23 19:38:20,0.8887,7.1214
2025-07-23 19:43:35,0.9984,0.3189
2025-07-24 09:54:46,0.9936,2.5781
2025-07-24 10:35:00,0.9961,2.127
2025-07-24 10:37:21,0.9879,1.4649
2025-07-24 14:11:21,0.7692,23.0786
2025-07-24 14:13:07,0.9372,5.0852
